innings,player_dismissed,date,season,batting_team,striker,wicket_type,bowling_team,runs_of_bat,over,match_no,match_id,noballs,extras,legbyes,bowler,byes,fielder,venue,wide
2,Shubman Gill,"Apr 21, 2024",2024,GT,Shubman Gill,caught,PBKS,0,9.3,37,202437,0,0,0,Liam Livingstone,0,Kagiso Rabada,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, Chandigarh",0
2,,"Apr 21, 2024",2024,GT,David Miller,,PBKS,1,9.4,37,202437,0,0,0,Liam Livingstone,0,,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, Chandigarh",0
2,,"Apr 21, 2024",2024,GT,Sai Sudharsan,,PBKS,1,9.5,37,202437,0,0,0,Liam Livingstone,0,,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, Chandigarh",0
2,,"Apr 21, 2024",2024,GT,David Miller,,PBKS,0,9.6,37,202437,0,0,0,Liam Livingstone,0,,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, Chandigarh",0
2,,"Apr 21, 2024",2024,GT,Sai Sudharsan,,PBKS,1,10.1,37,202437,0,0,0,Kagiso Rabada,0,,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, Chandigarh",0
2,,"Apr 21, 2024",2024,GT,David Miller,,PBKS,1,10.2,37,202437,0,0,0,Kagiso Rabada,0,,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, Chandigarh",0
2,,"Apr 21, 2024",2024,GT,Sai Sudharsan,,PBKS,0,10.3,37,202437,0,0,0,Kagiso Rabada,0,,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, Chandigarh",0
2,,"Apr 21, 2024",2024,GT,Sai Sudharsan,,PBKS,0,10.4,37,202437,0,0,0,Kagiso Rabada,0,,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, Chandigarh",0
2,,"Apr 21, 2024",2024,GT,Sai Sudharsan,,PBKS,0,10.5,37,202437,0,0,0,Kagiso Rabada,0,,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, Chandigarh",0
2,,"Apr 21, 2024",2024,GT,Sai Sudharsan,,PBKS,2,10.6,37,202437,0,0,0,Kagiso Rabada,0,,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, Chandigarh",0
2,,"Apr 21, 2024",2024,GT,David Miller,,PBKS,1,11.1,37,202437,0,0,0,Liam Livingstone,0,,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, Chandigarh",0
2,,"Apr 21, 2024",2024,GT,Sai Sudharsan,,PBKS,1,11.2,37,202437,0,0,0,Liam Livingstone,0,,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, Chandigarh",0
2,,"Apr 21, 2024",2024,GT,David Miller,,PBKS,0,11.3,37,202437,0,1,0,Liam Livingstone,0,,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, Chandigarh",1
2,,"Apr 21, 2024",2024,GT,David Miller,,PBKS,1,11.3,37,202437,0,0,0,Liam Livingstone,0,,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, Chandigarh",0
2,,"Apr 21, 2024",2024,GT,Sai Sudharsan,,PBKS,1,11.4,37,202437,0,0,0,Liam Livingstone,0,,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, Chandigarh",0
2,David Miller,"Apr 21, 2024",2024,GT,David Miller,bowled,PBKS,0,11.5,37,202437,0,0,0,Liam Livingstone,0,,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, Chandigarh",0
2,,"Apr 21, 2024",2024,GT,Azmatullah Omarzai,,PBKS,1,11.6,37,202437,0,0,0,Liam Livingstone,0,,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, Chandigarh",0
2,,"Apr 21, 2024",2024,GT,Azmatullah Omarzai,,PBKS,0,12.1,37,202437,0,0,0,Harpreet Brar,0,,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, Chandigarh",0
2,,"Apr 21, 2024",2024,GT,Azmatullah Omarzai,,PBKS,1,12.2,37,202437,0,0,0,Harpreet Brar,0,,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, Chandigarh",0
2,,"Apr 21, 2024",2024,GT,Sai Sudharsan,,PBKS,0,12.3,37,202437,0,0,0,Harpreet Brar,0,,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, Chandigarh",0
2,,"Apr 21, 2024",2024,GT,Sai Sudharsan,,PBKS,1,12.4,37,202437,0,0,0,Harpreet Brar,0,,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, Chandigarh",0
2,,"Apr 21, 2024",2024,GT,Azmatullah Omarzai,,PBKS,6,12.5,37,202437,0,0,0,Harpreet Brar,0,,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, Chandigarh",0
2,,"Apr 21, 2024",2024,GT,Azmatullah Omarzai,,PBKS,0,12.6,37,202437,0,0,0,Harpreet Brar,0,,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, Chandigarh",0
2,,"Apr 21, 2024",2024,GT,Sai Sudharsan,,PBKS,0,13.1,37,202437,0,0,0,Liam Livingstone,0,,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, Chandigarh",0
2,,"Apr 21, 2024",2024,GT,Sai Sudharsan,,PBKS,1,13.2,37,202437,0,0,0,Liam Livingstone,0,,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, Chandigarh",0
2,,"Apr 21, 2024",2024,GT,Azmatullah Omarzai,,PBKS,1,13.3,37,202437,0,0,0,Liam Livingstone,0,,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, Chandigarh",0
